,Title,Price,Rating,Stock
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,out of stock
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,out of stock
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,out of stock
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,out of stock
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,out of stock
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,out of stock
68,The Death of Humanity: and the Case for Life,58.11,Four,out of stock
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,out of stock
70,The Art Forger,40.76,Three,out of stock
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,out of stock
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,out of stock
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,out of stock
74,Soul Reader,39.58,Two,out of stock
75,Security,39.25,Two,out of stock
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,out of stock
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,out of stock
78,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,out of stock
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,out of stock
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,out of stock
81,Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,out of stock
82,"Pop Gun War, Volume 1: Gift",18.97,One,out of stock
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,out of stock
84,Patience,10.16,Three,out of stock
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,out of stock
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,out of stock
87,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,out of stock
88,On a Midnight Clear,14.07,Three,out of stock
89,Obsidian (Lux #1),14.86,Two,out of stock
90,My Paris Kitchen: Recipes and Stories,33.37,Two,out of stock
91,Masks and Shadows,56.4,Two,out of stock
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,out of stock
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,out of stock
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,out of stock
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,out of stock
96,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,out of stock
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,out of stock
98,Join,35.67,Five,out of stock
99,In the Country We Love: My Family Divided,22.0,Four,out of stock
